user_id,user_name,date,text,tweet_id,is_reply,replies,retweets,quotes,cleaned_text,cluster_number,cluster_name,topic_number,topic_name
72579390,innoget,Fri Feb 26 11:35:21 +0000 2016,"#Global #Biotech Reagents Market 2016 Industry Shares, Review, Forecast Growth &amp; Analysis! Full article in our blog. https://t.co/TN18DXIzip",703181551727570944,False,0,0,0,global biotech reagent market industry share review forecast growth analysis full,1,Challenges and Solutions,3,Business & Industry Innovation
72579390,innoget,Thu Feb 25 10:15:16 +0000 2016,Tech Transfer Office in #Ohio #University helps staff commercialize innovation and IP! Full article in our blog. https://t.co/3ozNsAHTbf,702799011187658752,False,0,0,0,tech transfer office ohio university help staff commercialize innovation full,0,Innovation Exploration,3,Business & Industry Innovation
72579390,innoget,Wed Feb 24 12:10:05 +0000 2016,What’s your point regarding IP protection? Does it benefit the market? New article about IP protection in our blog! https://t.co/4dA1Q8MZ17,702465520109559808,False,0,0,0,point regard protection benefit market new protection,1,Challenges and Solutions,2,Research Updates
72579390,innoget,Tue Feb 23 15:15:17 +0000 2016,New article about #Samsung and its investment in biotechnology in aim to become a major force in this market. https://t.co/2wCtlTVcIC,702149739492597761,False,0,0,0,new samsung investment biotechnology aim become major force market,1,Challenges and Solutions,3,Business & Industry Innovation
72579390,innoget,Mon Feb 22 12:01:04 +0000 2016,Want to success in Tech Transfer? Visit our blog and read the new article Ten Steps to success in Tech Transfer! https://t.co/dozZRVsBbL,701738474878144513,False,0,0,0,want success tech transfer visit new ten step success tech transfer,1,Challenges and Solutions,3,Business & Industry Innovation
72579390,innoget,Mon Feb 22 08:39:30 +0000 2016,INNOVACIÓN 6.0: PENSAMIENTO NO CONVENCIONAL E INNOVACIÓN ABIERTA https://t.co/doF8hU0v9r,701687749255028736,False,0,0,0,innovaci pensamiento convencional innovaci abierta,1,Challenges and Solutions,0,Events & Webinars
72579390,innoget,Thu Feb 18 15:31:01 +0000 2016,$5M #GrantCall for #Sustainable Solutions for Building Operations and Maintenance.Submit your proposal by March 31st https://t.co/F721VpXef9,700341756622143492,False,0,0,0,grant sustainable solution building operation maintenance submit proposal march,1,Challenges and Solutions,1,Requests for Solutions
72579390,innoget,Wed Feb 17 10:20:05 +0000 2016,Join us at @TheEconomist's #InnovationForum on 3/10 in Chicago.15% off with code INNOGET15. Learn more: https://t.co/9X5XhMukZn #innovation,699901119569461248,False,0,0,0,innovation forum chicago code innovation,0,Innovation Exploration,0,Events & Webinars
72579390,innoget,Thu Feb 11 10:34:53 +0000 2016,S$5M #GrantCall for Sustainable Solutions for Building Operations and Maintenance. Submit your proposal here – https://t.co/Ae4bjhBX9i,697730516917882880,False,0,0,0,grant sustainable solution building operation maintenance submit proposal,1,Challenges and Solutions,1,Requests for Solutions
72579390,innoget,Wed Feb 10 18:15:14 +0000 2016,"S$5,000,000 Grant Call for Resource, Building Efficiency and Sustainable Urban Solutions"" by @J_Rafols on @LinkedIn https://t.co/PqvlSAE7Bu",697483980619313152,False,0,1,0,grant resource building efficiency sustainable urban solution,1,Challenges and Solutions,1,Requests for Solutions
72579390,innoget,Wed Feb 10 10:34:52 +0000 2016,Join us at @TheEconomist's #InnovationForum on 3/10 in Chicago. 15% off with code INNOGET15. Learn more: https://t.co/fABCvnsM9i #innovation,697368124912443392,False,0,1,0,innovation forum chicago code innovation,0,Innovation Exploration,0,Events & Webinars
72579390,innoget,Mon Feb 01 15:24:10 +0000 2016,"#JTC launches S$5M #GrantCall looking for #resourceEfficiency, building efficiency &amp; sustainable urban solutions – https://t.co/PjxDcpNVP5",694179441413595136,False,0,0,0,launch grant look efficiency building efficiency sustainable urban solution,1,Challenges and Solutions,1,Requests for Solutions
72579390,innoget,Mon Jan 25 11:39:19 +0000 2016,S$5M Open Grant Call for Sustainable Solutions for Building Operations and Maintenance. Submit your proposal here – https://t.co/Ae4bjhBX9i,691586138474201088,False,0,0,0,open grant sustainable solution building operation maintenance submit proposal,1,Challenges and Solutions,1,Requests for Solutions
72579390,innoget,Fri Oct 02 14:24:01 +0000 2015,Introducing the Annual Summit Global #Innovation Leaders @ Waldorf Astoria Berlin on March 2016 - Innoget Blog http://t.co/H68JLhxAtP,649952982541430784,False,0,1,0,introduce annual summit global innovation leader waldorf astoria berlin march,0,Innovation Exploration,3,Business & Industry Innovation
72579390,innoget,Fri Oct 02 10:19:05 +0000 2015,St Petersburg physicists discovered a way to increase performance of modern computers - Innoget Blog http://t.co/8MMMt33Dxm,649891342844325888,False,0,1,0,petersburg physicist discover way increase performance modern computer,1,Challenges and Solutions,0,Events & Webinars
72579390,innoget,Thu Sep 24 14:24:03 +0000 2015,"We are delighted to partner with @IIRUSA promoting Innovate 2015 @ Toronto, Canada - Innoget Blog http://t.co/jC2YroK5gi #Innovation",647053890152734720,False,0,0,0,delighted partner promote innovate toronto canada innovation,0,Innovation Exploration,0,Events & Webinars
